./mic_F01_si453_f0.txt,733,554,11,1,167,0,167,3.67E-06,0.000498821
./mic_F02_si643_f0.txt,741,539,39,0,163,0,163,-2.29E-05,0.000101396
./mic_F03_si831_f0.txt,910,575,54,2,279,0,279,-3.31E-05,0.000186481
./mic_F04_si1020_f0.txt,657,466,94,20,77,0,77,4.06E-05,0.000622311
./mic_F05_si1209_f0.txt,733,523,20,6,184,0,184,-3.68E-05,0.000233456
./mic_F06_si1398_f0.txt,656,487,16,7,146,0,146,-2.37E-08,0.000143985
./mic_F07_si1587_f0.txt,845,586,34,0,225,0,225,0.000897573,0.002093725
./mic_F08_si1776_f0.txt,682,520,20,2,140,0,140,1.85E-05,0.000387526
./mic_F09_si1965_f0.txt,732,518,37,0,177,0,177,-6.75E-06,0.000100314
./mic_F10_si2154_f0.txt,666,539,47,1,79,0,79,-0.000568572,0.001577494
./mic_M01_si453_f0.txt,656,512,2,9,133,0,133,0.001327995,0.002063134
./mic_M02_si642_f0.txt,681,465,68,50,98,0,98,-0.000362092,0.000525412
./mic_M03_si831_f0.txt,937,632,37,6,262,0,262,0.000383624,0.001980902
./mic_M04_si1020_f0.txt,681,496,15,6,164,0,164,-0.000233903,0.000388342
./mic_M05_si1209_f0.txt,656,489,7,2,158,0,158,-0.000575276,0.001614141
./mic_M06_si1398_f0.txt,657,500,18,2,137,0,137,-0.000117661,0.000252337
./mic_M07_si1587_f0.txt,885,618,40,4,223,0,223,-6.43E-05,0.000210497
./mic_M08_si1776_f0.txt,656,501,37,3,115,0,115,-0.000389851,0.000418899
./mic_M09_si1965_f0.txt,657,494,15,4,144,0,144,0.000315815,0.001815651
./mic_M10_si2154_f0.txt,656,538,12,0,106,0,106,-0.000220353,0.000310458
